id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
155,3341,Campina do Simão,2013,3ADON,PR,Brazil,41.17,39.81,13.17,12.97,14.98,11.66,1,NA,NA
156,3349,Pinhão,2013,3ADON,PR,Brazil,53.21,47.18,17.12,14.28,19.74,17.49,1,NA,NA
157,3356,Pinhão,2013,15ADON,PR,Brazil,55.01,55.09,15.35,15.35,24.67,18.6,1,NA,NA
158,3357,Teixeira Soares,2013,NIV,PR,Brazil,47.72,47.55,20.28,17.48,17.71,15.83,1,NA,NA
159,3358,Teixeira Soares,2013,NIV,PR,Brazil,32.55,24.74,17.13,16.9,14.37,12.24,1,NA,NA
160,3363,Teixeira Soares,2013,15ADON,PR,Brazil,50.98,47.28,12.73,12.73,22.19,21.47,1,NA,NA
161,3366,Teixeira Soares,2013,NIV,PR,Brazil,49.44,48.14,18.49,16.22,12.55,11,1,NA,NA
162,3367,Teixeira Soares,2013,15ADON,PR,Brazil,53.61,49.12,16.04,14.61,16.69,15.89,1,NA,NA
163,3374,Guarapuava,2013,NIV,PR,Brazil,43.4,43.35,13.69,13.69,18.37,19.77,1,NA,NA
164,3387,Foz do Jordão,2013,15ADON,PR,Brazil,53.08,47.92,16.53,16.23,18.74,17.58,1,NA,NA
165,3389,Foz do Jordão,2013,NIV,PR,Brazil,50.1,47.81,15.75,14.38,17.72,16.9,1,NA,NA
166,3391,Foz do Jordão,2013,15ADON,PR,Brazil,41.3,38.91,17.41,18.89,22.89,21.57,1,NA,NA
167,3393,Foz do Jordão,2013,15ADON,PR,Brazil,51.33,47.31,16.54,14.55,16.79,17.28,1,NA,NA
168,3396,Foz do Jordão,2013,15ADON,PR,Brazil,37.46,36.74,14.74,15.11,17.37,16.18,1,NA,NA
169,3398,Foz do Jordão,2013,15ADON,PR,Brazil,50.72,51.6,17.82,13.77,18.13,17.28,1,NA,NA
170,3400,Candói,2013,15ADON,PR,Brazil,44.44,41.31,16.9,15.17,17.2,16.7,1,NA,NA
171,3403,Candói,2013,NIV,PR,Brazil,49.45,43.65,17.52,16.57,15.65,15.49,1,NA,NA
172,3404,Candói,2013,15ADON,PR,Brazil,36.3,35.55,15.56,15.3,24.3,23.53,1,NA,NA
173,3434,Pinhão,2013,15ADON,PR,Brazil,48.19,40.65,19.59,19.3,19.68,17.95,1,NA,NA
174,3448,Pitanga,2013,3ADON,PR,Brazil,50.08,46.33,15.37,14.43,16.07,17.45,1,NA,NA
175,3453,Pitanga,2013,3ADON,PR,Brazil,45.17,43.89,14.75,14.89,19.69,16.32,1,NA,NA
176,3468,Candói,2013,15ADON,PR,Brazil,50.72,44.67,15.32,14.5,22.82,22.26,1,NA,NA
177,3497,Guarapuava,2013,15ADON,PR,Brazil,46.1,50.58,11.95,11.2,18.24,15.42,1,NA,NA
178,3507,Reserva do Iguaçu,2013,NIV,PR,Brazil,49.69,50.85,15.87,14.46,15.87,14.14,1,NA,NA
179,3515,Goioxim,2013,NIV,PR,Brazil,50.85,48.63,13.32,13.28,15.24,13.59,1,NA,NA
180,3522,Goioxim,2013,15ADON,PR,Brazil,46.13,44.2,16.51,17.07,21.4,19.9,1,NA,NA
181,3523,Goioxim,2013,15ADON,PR,Brazil,53.23,50.63,26.7,25.26,30.69,29.87,1,NA,NA
182,3524,Goioxim,2013,15ADON,PR,Brazil,46.82,44.36,14.91,14.75,19.64,18.03,1,NA,NA
183,3527,Goioxim,2013,NIV,PR,Brazil,49.82,48.27,13.82,12.64,14.15,12.29,1,NA,NA
184,3576,Turvo,2013,15ADON,PR,Brazil,51.61,49.41,14.4,14.09,16.57,16.26,1,NA,NA
185,3577,Turvo,2013,15ADON,PR,Brazil,46.44,50.55,15.82,15.31,19.45,16.38,1,NA,NA
186,3580,Turvo,2013,15ADON,PR,Brazil,48.1,43.94,17.4,17.14,20.84,19.95,1,NA,NA
187,3583,Turvo,2013,XXX,PR,Brazil,48.23,46.82,14.43,12.07,16.52,14.68,1,NA,NA
188,3587,Turvo,2013,15ADON,PR,Brazil,56.9,57.92,14.64,13.89,17.05,16.58,1,NA,NA
189,3590,Pinhão,2013,15ADON,PR,Brazil,32.38,35.24,14.72,14.98,20.77,17.63,1,NA,NA
190,001-2013,Goioxim,2013,15ADON,PR,Brazil,47.1,43.48,15.25,14.64,21.84,20.15,1,NA,NA
191,002-2013,Cantagalo,2013,NIV,PR,Brazil,50.32,48.35,18.22,14.5,16.46,16.07,1,NA,NA
192,003-2013,Turvo,2013,NIV,PR,Brazil,29.52,27.97,14.51,13.79,11.25,11.11,1,NA,NA
193,004-2013,Roncador,2013,15ADON,PR,Brazil,52.92,50.68,14.56,13.88,22.74,17.83,1,NA,NA
194,005-2013,Campina do Simão,2013,NIV,PR,Brazil,50.03,40.31,15.49,17.98,19.75,19.41,1,NA,NA
195,006-2013,Campina do Simão,2013,15ADON,PR,Brazil,47.9,44.65,14.79,13.94,16.04,15.9,1,NA,NA
196,007-2013,Goioxim,2013,15ADON,PR,Brazil,55.09,55.14,19.56,19.27,12.46,15.87,1,NA,NA
197,008/13,Goioxim,2013,XXX,PR,Brazil,55.1,52.92,36.28,35.48,39.59,36.71,1,NA,NA
198,009-2013,Turvo,2013,15ADON,PR,Brazil,50.09,49.68,15.05,14.67,19.98,16.82,1,NA,NA
199,010-2013,Turvo,2013,NIV,PR,Brazil,42.78,42.01,13.58,13.24,17.97,16.61,1,NA,NA
200,011-2013,Turvo,2013,NIV,PR,Brazil,45.95,44.49,14.74,13.27,13.96,11.51,1,NA,NA
201,012-2013,Turvo,2013,NIV,PR,Brazil,39.07,37.55,18.9,17.16,15.34,15.94,1,NA,NA
202,013-2013,Guarapuava,2013,NIV,PR,Brazil,43.72,38.43,18.57,18.76,23.19,22.96,1,NA,NA
203,014-2013,Candói,2013,15ADON,PR,Brazil,44.55,39.8,17.78,15.47,21.41,19.59,1,NA,NA
204,015-2013,Candói,2013,15ADON,PR,Brazil,51.53,49.29,15.26,15.71,20.36,18.96,1,NA,NA
205,016-2013,Candói,2013,NIV,PR,Brazil,43.85,43.89,20.52,19.19,16.17,17.81,1,NA,NA
206,017-2013,Pinhão,2013,NIV,PR,Brazil,37.05,43.59,17.37,16.89,16.82,15.74,1,NA,NA
207,3705,Guarapuava,2014,15ADON,PR,Brazil,49.68,47.17,18.32,17.04,21.74,20.15,1,NA,NA
208,3706,Guarapuava,2014,15ADON,PR,Brazil,44.76,42.98,16.84,16.22,18.88,17.58,1,NA,NA
209,3707,Guarapuava,2014,NIV,PR,Brazil,47.35,46.52,16.85,17.85,16.91,14.08,1,NA,NA
210,3708,Guarapuava,2014,15ADON,PR,Brazil,40.75,39.75,15.74,16.89,18.77,19.31,1,NA,NA
